Time Avstress
3152600 0.18537948941071952
3152710 0.17659553022683835
3152820 0.18212789079714056
3152930 0.1876725511572319
3153040 0.1811342518057999
3153150 0.17816435142806583
3153260 0.17223577925248135
3153370 0.17469847255448945
3153480 0.16993146256782474
3153590 0.18214032723645704
3153700 0.18051326757117606
3153810 0.1797372368757819
3153920 0.18629016959379308
3154030 0.18597893948623523
3154140 0.18027351633938787
3154250 0.1793512118739551
3154360 0.17380031960076325
3154470 0.17674212262243827
3154580 0.18781652324842593
3154690 0.17460952355500065
3154800 0.16415663824536844
3154910 0.19307686318868827
3155020 0.2039778358475257
3155130 0.17876828355972801
3155240 0.20440280738754693
3155350 0.1820408900647788
3155460 0.17483348694588735
3155570 0.19424281259343493
3155680 0.18966787191104423
3155790 0.20670873103628792
3155900 0.1910233652893004
3156010 0.19904409249303243
3156120 0.16109870653538322
3156230 0.18730405455598573
3156340 0.1904175730437918
3156450 0.1883302565026704
3156560 0.20548284846537937
3156670 0.19158487957052533
3156780 0.19161141148016267
3156890 0.19033489962805042
3157000 0.2019488029490522
3157110 0.18299956951307547
3157220 0.16198722334879373
3157330 0.17294133519845487
3157440 0.17743811089606545
3157550 0.20683744944353652
3157660 0.1998213385331295
3157770 0.18359124914499486
3157880 0.18454702933619663
3157990 0.17584651234793017
3158100 0.18031698916774305
3158210 0.19701915263338798
3158320 0.18372685778853395
3158430 0.18685957596396863
3158540 0.1964056249261632
3158650 0.1830553145576016
3158760 0.16704371873496335
3158870 0.18288502686847027
3158980 0.16816443162497108
3159090 0.18542280520188015
3159200 0.18242535025793855
3159310 0.20324931636776686
3159420 0.1775160299329514
3159530 0.17632539325920718
3159640 0.18188031000547003
3159750 0.18175720881753024
3159860 0.18130872328492412
3159970 0.16755524607918273
3160080 0.1961928098361632
3160190 0.18699204897703126
3160300 0.17924901038585778
3160410 0.1940656538633301
3160520 0.1862431035380787
3160630 0.1835588071862609
3160740 0.17033100071770577
3160850 0.18217417588721516
3160960 0.16289633326805042
3161070 0.17397834044984953
3161180 0.18533446506913387
3161290 0.1624764934235198
3161400 0.1680413664735751
3161510 0.190239854109076
3161620 0.17742182046959104
3161730 0.19800647153042117
3161840 0.18439123213088607
3161950 0.16324431033411843
3162060 0.16401089942599215
3162170 0.17366870676590535
3162280 0.1977207933470351
3162390 0.18505502539735919
3162500 0.18781320470578705
3162610 0.18853793688955633
3162720 0.19929864776054848
3162830 0.17866896278467656
3162940 0.18406444633003857
3163050 0.17779986188734695
3163160 0.1737934595713934
3163270 0.1833816952020499
3163380 0.1694708487475386
3163490 0.19113420386026234
3163600 0.17224572296719778
3163710 0.18414593469753085
3163820 0.16967459558397696
3163930 0.18541303824108601
3164040 0.1843145856479932
3164150 0.19324085025176246
3164260 0.1825123274641493
3164370 0.19010431242430556
3164480 0.18166942195640495
3164590 0.20200674315800926
3164700 0.174144632358451
3164810 0.18022910811551185
3164920 0.1980527251998669
3165030 0.1898441976007176
3165140 0.17975380043375
3165250 0.19896257963067385
3165360 0.18686351795357833
3165470 0.2007043093266911
3165580 0.17860038433865486
3165690 0.16729799030879952
3165800 0.18697215899759712
3165910 0.1638006697790368
3166020 0.19053259240059414
3166130 0.21382843597941742
3166240 0.18595179899989198
3166350 0.19942225406164996
3166460 0.19140631836571437
3166570 0.17558911429279578
3166680 0.2012645979507414
3166790 0.19031765208781187
3166900 0.19803296943078577
3167010 0.2073148275553382
3167120 0.17928831240637538
3167230 0.18692939392969457
3167340 0.1745724502531745
3167450 0.19245671918074975
3167560 0.1879229878539519
3167670 0.16978479817696887
3167780 0.17276613952936987
3167890 0.18374564915445987
3168000 0.18570507296367927
3168110 0.18225193659853522
3168220 0.17537067163635095
3168330 0.19596936979471064
3168440 0.18719120679873136
3168550 0.1793091020604938
3168660 0.18545375229543726
3168770 0.18816840592462836
3168880 0.1885402979827347
3168990 0.1766709385869605
3169100 0.1860629025879546
3169210 0.18919010814854362
3169320 0.18463083010945988
3169430 0.17651958114625962
3169540 0.1709305509556321
3169650 0.18345635167266783
3169760 0.17876392278199715
3169870 0.18888937249091178
3169980 0.17956694579161073
3170090 0.18320216573034528
3170200 0.19368576068467722
3170310 0.18924418523583783
3170420 0.18725657597495626
3170530 0.16559543103353203
3170640 0.18664420547336483
3170750 0.20506913708757846
3170860 0.1814745593101839
3170970 0.18099667025095229
3171080 0.18684199810332497
3171190 0.18499342874640626
3171300 0.1874703539050225
3171410 0.18812709404936792
3171520 0.18175948103505593
3171630 0.18107932939457497
3171740 0.1789691195160751
3171850 0.16620544253988812
3171960 0.18727616095442579
3172070 0.1765093717419438
3172180 0.20049140108715535
3172290 0.1911315746698354
3172400 0.19536930797591756
3172510 0.17803373605610726
3172620 0.18803080140980388
3172730 0.18759546807579539
3172840 0.17084733969670268
3172950 0.18521847353099344
3173060 0.18879829810101464
3173170 0.18282950043102367
3173280 0.19238815228098444
3173390 0.18509116409992477
3173500 0.19171824562057163
3173610 0.177885458260987
3173720 0.18985723028351145
3173830 0.20223358169144096
3173940 0.1948301740053183
3174050 0.20518197707468686
3174160 0.18864288091958079
3174270 0.18069621778610018
3174380 0.18203106919313977
3174490 0.19967510582565456
3174600 0.19892057512900335
3174710 0.19310291343882588
3174820 0.18339169550404963
3174930 0.18729047688753023
3175040 0.17888544572958012
3175150 0.1776096368973656
3175260 0.20525294625534402
3175370 0.19163536294383232
3175480 0.18018933367009837
3175590 0.1909655058847505
3175700 0.1811260019379302
3175810 0.18902703946184993
3175920 0.18523902320378857
3176030 0.19122577948203318
3176140 0.19860323221474535
3176250 0.19623119957930749
3176360 0.19015534155851335
3176470 0.19207839471108476
3176580 0.17698138388477816
3176690 0.1864209518643602
3176800 0.17373580124640947
3176910 0.20881742266196437
3177020 0.19019434188026427
3177130 0.1811233147197685
3177240 0.18609405257062114
3177350 0.17435039910907213
3177460 0.18094868677760353
3177570 0.19524574301698944
3177680 0.1856370830148476
3177790 0.18801304531291602
3177900 0.1841498665973418
3178010 0.19250114934333784
3178120 0.18005953117728202
3178230 0.1842033704943885
3178340 0.17987688092853266
3178450 0.19591497442246655
3178560 0.17490959221544494
3178670 0.18254685737863877
3178780 0.1902944422290297
3178890 0.1727162503534645
3179000 0.1827023110503485
3179110 0.15850575403969328
3179220 0.16334784269900013
3179330 0.16153925755615162
3179440 0.18269686596385995
3179550 0.18955283604082113
3179660 0.1710723136144374
3179770 0.1726400507181385
3179880 0.19212453787236497
3179990 0.1898908857457864
3180100 0.17826682161668597
3180210 0.20157191973319957
3180320 0.18889942106098573
3180430 0.17734978791118183
3180540 0.18712442524418402
3180650 0.19267563876569122
3180760 0.17246864976167503
3180870 0.17100370785424254
3180980 0.18750806892142105
3181090 0.19618023095347156
3181200 0.17699202545259066
3181310 0.1730252644047036
3181420 0.18394120654095295
3181530 0.1945395532230607
3181640 0.20325155773351467
3181750 0.19545692065525014
3181860 0.17941468418152906
3181970 0.19836674146800284
3182080 0.18430395472847094
3182190 0.17112634447372876
3182300 0.176081271388143
3182410 0.17326691830196309
3182520 0.17217340596486755
3182630 0.18251696916372234
3182740 0.1893886273141255
3182850 0.17369407222444444
3182960 0.17673740034536264
3183070 0.1686308754329771
3183180 0.1912109747293332
3183290 0.17971786383032728
3183400 0.20386539459417247
3183510 0.17158834909684093
3183620 0.19752797301133745
3183730 0.2039832015015972
3183840 0.18816358717918016
3183950 0.17600373215033308
3184060 0.17720047983082304
3184170 0.18169654948349667
3184280 0.17468413686217785
3184390 0.17713683814372042
3184500 0.18529489296753857
3184610 0.18815425005653486
3184720 0.1919631940998579
3184830 0.15683084202249487
3184940 0.1842041112259124
3185050 0.1722418690738606
3185160 0.18280788552291022
3185270 0.19339838238306842
3185380 0.18417357074485596
3185490 0.18385094741719457
3185600 0.15938358132472286
3185710 0.1925507105648849
3185820 0.1852668131170801
3185930 0.1903367843331488
3186040 0.16589299970334748
3186150 0.17285237229185377
3186260 0.18518440599496527
3186370 0.19491365665617863
3186480 0.20506575015948433
3186590 0.180351980901911
3186700 0.18148914549891523
3186810 0.16863265508116385
3186920 0.2016078442968287
3187030 0.17606047869658886
3187140 0.17804610421407213
3187250 0.17995516410457305
3187360 0.20179291928937498
3187470 0.18448761610325554
3187580 0.18412762800463028
3187690 0.20526512531241065
3187800 0.18506880807497814
3187910 0.18537752409021863
3188020 0.18883493410877317
3188130 0.18586498776739585
3188240 0.1894737742738619
3188350 0.19540873304972994
3188460 0.20186722346385289
3188570 0.16986999717446694
3188680 0.16356798061748906
3188790 0.1843606015298759
3188900 0.17690469216950552
3189010 0.17815045362488427
3189120 0.1714265416038349
3189230 0.17350175555151684
3189340 0.16164763941248456
3189450 0.18331820330600115
3189560 0.1752099479264217
3189670 0.1815850977897325
3189780 0.196668117974964
3189890 0.1793499994281385
3190000 0.17935878703400976
3190000 0.17935878703400976
3190110 0.19844012009225953
3190220 0.17792787112789288
3190330 0.17563329270027844
3190440 0.1886502887235796
3190550 0.18268727076062113
3190660 0.17886693912631815
3190770 0.18707486053811342
3190880 0.1929095820281475
3190990 0.15163898884086677
3191100 0.18594676319871206
3191210 0.18479435559769547
3191320 0.18581619674419753
3191430 0.1790469132614159
3191540 0.17734484988130786
3191650 0.1858787264849878
3191760 0.1720301083795859
3191870 0.1823341511391956
3191980 0.19356946669043726
3192090 0.17652543392428563
3192200 0.19409381533740355
3192310 0.1877905661984703
3192420 0.17870944194569893
3192530 0.18883883097082882
3192640 0.18396224723814944
3192750 0.18855767033157086
3192860 0.18315961974373393
3192970 0.18010287239491962
3193080 0.1740655477870859
3193190 0.1882101898779771
3193300 0.17695118295633425
3193410 0.1860586729261214
3193520 0.17223231632811214
3193630 0.19103430717202802
3193740 0.18696966917535557
3193850 0.20360724165274563
3193960 0.18363752995886704
3194070 0.1998538104337905
3194180 0.19218115422713414
3194290 0.1965488975230382
3194400 0.21110737294022053
3194510 0.19002584215422066
3194620 0.17557655001635544
3194730 0.1784059195976209
3194840 0.181426676193152
3194950 0.19056479985767683
3195060 0.17972829729615097
3195170 0.17804856892735985
3195280 0.19429648213549897
3195390 0.20420553309602882
3195500 0.17891745841305362
3195610 0.1713799733960333
3195720 0.18588827884179657
3195830 0.18343357148003278
3195940 0.17084509147608862
3196050 0.1799981559895814
3196160 0.18856867793842208
3196270 0.18239890565317193
3196380 0.17071921742610663
3196490 0.18270657850624936
3196600 0.18540492141820603
3196710 0.1801048228615683
3196820 0.188964426116576
